X,Y,OBJECTID,ID,STATION,STATIONURL,STA_ID,SYSTEM,SYS_AGENCY,NTDID,LATITUDE,LONGITUDE,UA,UACODE,STATUS,SOURCE,SOURCEDATE,GRD_ELEV,ADDRESS,CITY,STATE,ZIP,STATIONSYS
-118.193207169,33.7680289670001,1,9154001,Downtown Long Beach Station,https://www.metro.net/riding/paid_parking/blue-line/,80101,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.7680289670001,-118.193207169,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90802,Downtown Long Beach Station - LACMTA
-118.189383439,33.768847495,2,9154002,1st Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80153,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.768847495,-118.189383439,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90802,1st Street Station - LACMTA
-118.193764245,33.7725241200001,3,9154003,Pacific Ave Station,https://www.metro.net/riding/paid_parking/blue-line/,80102,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.7725241200001,-118.193764245,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90802,Pacific Ave Station - LACMTA
-118.18941,33.7736,4,9154004,5th Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80154,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.7736,-118.18941,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90802,5th Street Station - LACMTA
-118.18938,33.78183,5,9154005,Anaheim Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80105,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.7818300000001,-118.18938,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90813,Anaheim Street Station - LACMTA
-118.18938,33.78909,6,9154006,Pacific Coast Hwy Station,https://www.metro.net/riding/paid_parking/blue-line/,80106,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.78909,-118.18938,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90813,Pacific Coast Hwy Station - LACMTA
-118.18983,33.80708,7,9154007,Willow Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80107,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.80708,-118.18983,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90806,Willow Street Station - LACMTA
-118.19609,33.81987,8,9154008,Wardlow Station,https://www.metro.net/riding/paid_parking/blue-line/,80108,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.81987,-118.19609,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90806,Wardlow Station - LACMTA
-118.21102,33.84822,9,9154009,Del Amo Station,https://www.metro.net/riding/paid_parking/blue-line/,80109,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.84822,-118.21102,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,COMPTON,CA,90221,Del Amo Station - LACMTA
-118.222558296,33.876236728,10,9154010,Artesia Station,https://www.metro.net/riding/paid_parking/blue-line/,80110,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.876236728,-118.222558296,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,COMPTON,CA,90220,Artesia Station - LACMTA
