state,alpha code,per 10K residents
alabama,AL,6.3
alaska,AK,2.6
arizona,AZ,4.6
arkansas,AR,4.7
california,CA,3.6
colorado,CO,4.0
connecticut,CT,2.4
delaware,DE,4.1
florida,FL,3.3
georgia,GA,4.9
hawaii,HI,3.2
idaho,ID,3.8
illinois,IL,4.5
indiana,IN,5.0
iowa,IA,4.7
kansas,KS,4.7
kentucky,KY,4.8
louisiana,LA,4.4
maine,ME,3.1
maryland,MD,3.9
massachusetts,MA,3.1
michigan,MI,4.0
minnesota,MN,3.7
mississippi,MS,2.1
missouri,MO,4.9
montana,MT,3.8
nebraska,NE,5.4
nevada,NV,4.7
new hampshire,NH,3.2
new jersey,NJ,2.0
new mexico,NM,4.3
new york,NY,2.1
north carolina,NC,4.5
north dakota,ND,3.6
ohio,OH,4.7
oklahoma,OK,5.3
oregon,OR,3.6
pennsylvania,PA,3.2
rhode island,RI,2.5
south carolina,SC,4.9
south dakota,SD,4.3
tennessee,TN,5.2
texas,TX,4.3
utah,UT,3.6
vermont,VT,1.9
virginia,VA,4.3
washington,WA,3.1
west virginia,WV,5.3
wisconsin,WI,4.0
wyoming,WY,4.1
