state,state code,alpha code,total gyms,per 100K residents (%)
alabama,01,AL,385,7.9
alaska,02,AK,90,12.2
arizona,04,AZ,318,4.5
arkansas,05,AR,134,4.4
california,06,CA,3365,8.5
colorado,08,CO,551,9.7
connecticut,09,CT,575,16.0
delaware,10,DE,142,14.6
florida,12,FL,2463,11.6
georgia,13,GA,115,9.6
hawaii,15,HI,87,6.1
idaho,16,ID,166,9.5
illinois,17,IL,211,15.7
indiana,18,IN,726,10.8
iowa,19,IA,397,12.6
kansas,20,KS,298,10.2
kentucky,21,KY,421,9.4
louisiana,22,LA,418,8.9
maine,23,ME,199,14.8
maryland,24,MD,961,15.8
massachusetts,25,MA,1487,21.6
michigan,26,MI,1362,13.6
minnesota,27,MN,127,18.2
mississippi,28,MS,285,9.6
missouri,29,MO,720,11.7
montana,30,MT,145,13.6
nebraska,31,NE,157,8.1
nevada,32,NV,223,7.3
new hampshire,33,NH,240,17.8
new jersey,34,NJ,1454,16.1
new mexico,35,NM,142,6.8
new york,36,NY,2759,13.9
north carolina,37,NC,260,19.8
north dakota,38,ND,91,12.0
ohio,39,OH,1322,11.3
oklahoma,40,OK,283,7.2
oregon,41,OR,530,12.6
pennsylvania,42,PA,1568,12.2
rhode island,44,RI,219,20.6
south carolina,45,SC,509,10.0
south dakota,46,SD,133,15.2
tennessee,47,TN,655,9.7
texas,48,TX,1576,5.5
utah,49,UT,219,6.9
vermont,50,VT,146,23.4
virginia,51,VA,1140,13.4
washington,53,WA,1002,34.2
west virginia,54,WV,137,7.6
wisconsin,55,WI,872,15.0
wyoming,56,WY,55,9.6
