,Obesity,"$25-$49,999","$50-$74,999","$75,000 or More",Ages 18-44,Ages 45-64,Ages 65+,American Indian/Alaska Native,Asian,Black,College Grad,Female,Hawaiian/Pacific Islander,High School Grad,Hispanic,"Less Than $25,000",Less Than High School,Male,Multiracial,Other Race,Some College,White
Alaska,29.5,32.8,26.3,31.6,27.5,33.8,27.2,29.1,0.0,0.0,24.7,28.5,0.0,33.7,26.9,31.2,34.1,29.9,32.7,0.0,32.0,29.2
Alabama,36.2,39.3,41.1,33.4,34.3,41.8,31.8,25.4,0.0,43.8,30.6,37.8,0.0,39.5,30.8,43.1,42.5,34.6,37.2,0.0,41.7,34.2
Arkansas,37.1,39.5,40.6,34.6,36.5,42.9,30.1,40.3,0.0,44.0,34.6,39.4,0.0,38.8,37.7,42.5,38.2,34.9,42.0,0.0,41.5,35.7
Arizona,29.5,33.4,31.2,25.6,26.9,36.1,26.1,48.6,0.0,32.7,24.4,28.0,0.0,34.2,33.8,40.3,43.4,31.0,28.7,31.7,31.7,27.5
California,25.8,29.0,31.1,22.0,23.3,30.3,24.2,34.5,10.9,40.0,18.2,25.6,0.0,31.6,33.3,34.7,35.3,26.0,24.8,26.3,30.0,22.8
Colorado,22.9,24.8,23.3,23.4,20.0,28.0,21.8,24.4,0.0,31.0,18.1,24.2,0.0,28.7,29.8,29.7,32.2,21.8,32.2,30.3,28.1,21.3
Connecticut,27.4,34.4,31.6,26.4,23.9,32.3,26.3,0.0,10.9,36.5,23.3,26.4,0.0,33.5,31.1,34.1,33.4,28.4,23.9,34.4,33.2,26.1
District of Columbia,24.7,34.5,27.1,16.4,21.3,31.6,25.2,0.0,0.0,37.4,16.5,28.0,0.0,37.1,30.1,40.5,39.6,21.2,23.6,0.0,37.4,12.3
Delaware,33.5,35.6,35.3,33.8,29.7,39.0,32.5,0.0,0.0,41.0,28.0,33.5,0.0,37.9,33.8,40.1,45.7,33.6,51.2,0.0,37.3,32.4
Florida,30.7,33.2,35.7,28.7,28.1,36.2,27.8,24.4,0.0,37.9,26.6,30.2,0.0,33.6,33.7,36.6,38.6,31.1,37.7,34.1,33.4,28.0
Georgia,32.5,35.3,37.0,29.6,29.9,37.6,29.6,17.5,12.1,40.6,26.8,33.3,0.0,38.7,30.2,40.9,37.9,31.6,32.1,0.0,36.4,29.7
Hawaii,24.9,25.1,26.9,23.5,26.2,28.7,17.4,0.0,17.5,34.5,19.0,23.0,45.2,33.7,34.0,29.7,27.1,26.8,35.5,0.0,24.7,18.2
Iowa,35.3,42.2,37.4,34.3,32.5,40.2,34.0,0.0,25.4,45.7,29.9,34.6,0.0,40.8,37.4,43.9,42.8,36.0,39.8,0.0,40.1,35.0
Idaho,28.4,32.8,30.0,27.4,24.2,34.0,29.0,0.0,0.0,0.0,23.7,27.1,0.0,28.2,32.1,36.1,37.9,29.7,0.0,0.0,36.4,27.9
Illinois,31.8,31.3,35.5,29.7,28.3,36.0,32.5,0.0,10.2,42.5,25.6,33.2,0.0,35.8,36.7,40.9,39.5,30.1,28.9,0.0,39.1,30.6
Indiana,34.1,35.6,39.9,34.6,31.2,39.0,32.6,57.0,0.0,39.4,30.9,34.2,0.0,38.4,39.3,38.6,36.4,33.9,38.0,33.3,37.4,33.6
Kansas,34.4,36.4,38.1,33.4,32.0,40.1,31.0,43.5,16.4,41.2,29.7,35.6,0.0,40.8,38.0,43.1,35.0,33.3,38.1,0.0,40.1,33.8
Kentucky,36.6,42.4,42.0,35.3,34.1,43.8,30.8,0.0,0.0,41.7,35.2,36.8,0.0,41.1,34.1,44.0,41.1,36.4,29.0,0.0,39.2,36.8
Louisiana,36.8,40.8,40.5,34.3,34.7,42.9,31.8,39.8,0.0,46.2,30.7,39.5,0.0,42.0,29.3,41.6,34.9,34.1,37.3,0.0,41.1,33.0
Massachusetts,25.7,28.2,28.6,26.4,22.6,29.5,25.9,0.0,6.5,26.8,21.7,24.3,0.0,32.7,30.2,32.9,30.0,27.0,40.0,30.3,31.8,26.2
Maryland,30.9,37.6,32.4,30.9,28.4,36.1,27.9,41.8,12.8,38.7,26.3,33.1,0.0,34.7,30.8,37.8,37.3,28.6,31.2,36.9,38.4,28.8
Maine,30.4,33.7,30.6,27.2,28.8,34.2,27.2,42.3,0.0,0.0,23.8,29.2,0.0,35.4,19.9,37.5,33.8,31.5,35.5,0.0,34.7,30.2
Michigan,33.0,36.4,34.6,31.9,29.1,38.3,32.3,32.6,0.0,40.3,27.0,34.6,0.0,37.3,35.5,41.8,37.5,31.4,34.0,31.5,39.2,32.4
Minnesota,30.1,34.0,33.1,29.0,26.8,34.5,30.0,50.2,20.1,32.2,24.7,27.5,0.0,36.3,32.8,38.1,36.0,32.4,35.2,0.0,34.4,30.0
Missouri,35.0,39.9,38.7,33.5,33.4,39.7,31.3,52.5,0.0,45.3,29.9,35.7,0.0,38.3,50.9,41.0,38.0,34.4,40.7,0.0,42.0,33.1
Mississippi,39.5,39.9,40.7,38.6,38.5,45.2,32.8,0.0,0.0,45.7,35.9,42.6,0.0,43.4,0.0,46.9,39.4,36.1,0.0,0.0,43.1,36.3
Montana,26.9,29.7,31.5,26.6,24.0,32.7,24.1,41.4,0.0,0.0,26.5,25.8,0.0,30.1,23.7,32.7,28.6,27.8,31.2,0.0,30.7,25.9
North Carolina,33.0,39.7,37.5,31.4,28.4,42.4,27.6,58.6,0.0,44.8,25.6,33.9,0.0,36.3,30.6,37.5,39.3,32.1,36.6,0.0,41.6,29.4
North Dakota,35.1,38.8,37.6,36.3,32.9,39.4,34.3,44.8,0.0,29.2,32.4,34.2,0.0,40.6,41.0,41.5,36.7,36.0,37.0,0.0,40.0,34.9
Nebraska,34.1,38.7,39.0,32.6,29.9,41.5,32.4,43.2,0.0,42.8,30.2,33.7,0.0,38.7,34.3,40.8,41.3,34.5,37.4,0.0,38.8,33.9
New Hampshire,29.6,33.7,29.4,27.6,28.3,31.8,28.3,0.0,0.0,0.0,22.5,28.1,0.0,35.9,0.0,40.8,43.2,31.1,28.9,0.0,32.6,30.0
New Jersey,25.6,30.7,31.9,25.0,22.8,28.9,25.8,0.0,0.0,34.2,20.2,25.5,0.0,34.0,26.2,35.0,29.9,25.8,0.0,0.0,31.6,26.1
New Mexico,32.3,33.6,38.1,28.8,33.2,36.5,24.9,41.6,0.0,30.8,25.5,33.5,0.0,35.5,37.8,37.6,40.2,31.2,0.0,0.0,34.3,25.5
Nevada,29.5,35.9,33.5,29.4,26.6,34.5,28.0,0.0,0.0,43.6,26.1,29.2,0.0,28.4,33.5,35.2,35.3,29.7,20.2,0.0,37.4,27.6
New York,27.6,32.1,31.9,25.7,25.0,31.7,27.0,32.1,12.4,33.1,22.7,27.3,34.9,33.6,31.4,33.0,32.8,27.9,32.3,24.0,31.1,27.4
