,Obesity,"$25-$49,999","$50-$74,999","$75,000 or More",Ages 18-44,Ages 45-64,Ages 65+,American Indian/Alaska Native,Asian,Black,College Grad,Female,Hawaiian/Pacific Islander,High School Grad,Hispanic,"Less Than $25,000",Less Than High School,Male,Multiracial,Other Race,Some College,White,abbreviation,LAT,LONG
Alaska,29.5,32.8,26.3,31.6,27.5,33.8,27.2,29.1,0,0,24.7,28.5,0,33.7,26.9,31.2,34.1,29.9,32.7,0,32,29.2,AK,61.3025006,61.3025006
Alabama,36.2,39.3,41.1,33.4,34.3,41.8,31.8,25.4,0,43.8,30.6,37.8,0,39.5,30.8,43.1,42.5,34.6,37.2,0,41.7,34.2,AL,32.6010112,32.6010112
Arkansas,37.1,39.5,40.6,34.6,36.5,42.9,30.1,40.3,0,44,34.6,39.4,0,38.8,37.7,42.5,38.2,34.9,42,0,41.5,35.7,AR,34.7519275,34.7519275
Arizona,29.5,33.4,31.2,25.6,26.9,36.1,26.1,48.6,0,32.7,24.4,28,0,34.2,33.8,40.3,43.4,31,28.7,31.7,31.7,27.5,AZ,34.1682185,34.1682185
California,25.8,29,31.1,22,23.3,30.3,24.2,34.5,10.9,40,18.2,25.6,0,31.6,33.3,34.7,35.3,26,24.8,26.3,30,22.8,CA,37.2718745,37.2718745
Colorado,22.9,24.8,23.3,23.4,20,28,21.8,24.4,0,31,18.1,24.2,0,28.7,29.8,29.7,32.2,21.8,32.2,30.3,28.1,21.3,CO,38.9979339,38.9979339
Connecticut,27.4,34.4,31.6,26.4,23.9,32.3,26.3,0,10.9,36.5,23.3,26.4,0,33.5,31.1,34.1,33.4,28.4,23.9,34.4,33.2,26.1,CT,41.5187835,41.5187835
District of Columbia,24.7,34.5,27.1,16.4,21.3,31.6,25.2,0,0,37.4,16.5,28,0,37.1,30.1,40.5,39.6,21.2,23.6,0,37.4,12.3,DC,38.8993487,38.8993487
Delaware,33.5,35.6,35.3,33.8,29.7,39,32.5,0,0,41,28,33.5,0,37.9,33.8,40.1,45.7,33.6,51.2,0,37.3,32.4,DE,39.145251,39.145251
Florida,30.7,33.2,35.7,28.7,28.1,36.2,27.8,24.4,0,37.9,26.6,30.2,0,33.6,33.7,36.6,38.6,31.1,37.7,34.1,33.4,28,FL,27.9757279,27.9757279
Georgia,32.5,35.3,37,29.6,29.9,37.6,29.6,17.5,12.1,40.6,26.8,33.3,0,38.7,30.2,40.9,37.9,31.6,32.1,0,36.4,29.7,GA,32.6781248,32.6781248
Hawaii,24.9,25.1,26.9,23.5,26.2,28.7,17.4,0,17.5,34.5,19,23,45.2,33.7,34,29.7,27.1,26.8,35.5,0,24.7,18.2,HI,20.46,20.46
Iowa,35.3,42.2,37.4,34.3,32.5,40.2,34,0,25.4,45.7,29.9,34.6,0,40.8,37.4,43.9,42.8,36,39.8,0,40.1,35,IA,41.9383166,41.9383166
Idaho,28.4,32.8,30,27.4,24.2,34,29,0,0,0,23.7,27.1,0,28.2,32.1,36.1,37.9,29.7,0,0,36.4,27.9,ID,45.4945756,45.4945756
Illinois,31.8,31.3,35.5,29.7,28.3,36,32.5,0,10.2,42.5,25.6,33.2,0,35.8,36.7,40.9,39.5,30.1,28.9,0,39.1,30.6,IL,39.739318,39.739318
Indiana,34.1,35.6,39.9,34.6,31.2,39,32.6,57,0,39.4,30.9,34.2,0,38.4,39.3,38.6,36.4,33.9,38,33.3,37.4,33.6,IN,39.7662195,39.7662195
Kansas,34.4,36.4,38.1,33.4,32,40.1,31,43.5,16.4,41.2,29.7,35.6,0,40.8,38,43.1,35,33.3,38.1,0,40.1,33.8,KS,38.4987789,38.4987789
Kentucky,36.6,42.4,42,35.3,34.1,43.8,30.8,0,0,41.7,35.2,36.8,0,41.1,34.1,44,41.1,36.4,29,0,39.2,36.8,KY,37.8222935,37.8222935
Louisiana,36.8,40.8,40.5,34.3,34.7,42.9,31.8,39.8,0,46.2,30.7,39.5,0,42,29.3,41.6,34.9,34.1,37.3,0,41.1,33,LA,30.9733766,30.9733766
Massachusetts,25.7,28.2,28.6,26.4,22.6,29.5,25.9,0,6.5,26.8,21.7,24.3,0,32.7,30.2,32.9,30,27,40,30.3,31.8,26.2,MA,42.0629398,42.0629398
Maryland,30.9,37.6,32.4,30.9,28.4,36.1,27.9,41.8,12.8,38.7,26.3,33.1,0,34.7,30.8,37.8,37.3,28.6,31.2,36.9,38.4,28.8,MD,38.8063524,38.8063524
Maine,30.4,33.7,30.6,27.2,28.8,34.2,27.2,42.3,0,0,23.8,29.2,0,35.4,19.9,37.5,33.8,31.5,35.5,0,34.7,30.2,ME,45.2185133,45.2185133
Michigan,33,36.4,34.6,31.9,29.1,38.3,32.3,32.6,0,40.3,27,34.6,0,37.3,35.5,41.8,37.5,31.4,34,31.5,39.2,32.4,MI,44.9435598,44.9435598
Minnesota,30.1,34,33.1,29,26.8,34.5,30,50.2,20.1,32.2,24.7,27.5,0,36.3,32.8,38.1,36,32.4,35.2,0,34.4,30,MN,46.4418595,46.4418595
Missouri,35,39.9,38.7,33.5,33.4,39.7,31.3,52.5,0,45.3,29.9,35.7,0,38.3,50.9,41,38,34.4,40.7,0,42,33.1,MO,38.3046615,38.3046615
Mississippi,39.5,39.9,40.7,38.6,38.5,45.2,32.8,0,0,45.7,35.9,42.6,0,43.4,0,46.9,39.4,36.1,0,0,43.1,36.3,MS,32.5851062,32.5851062
Montana,26.9,29.7,31.5,26.6,24,32.7,24.1,41.4,0,0,26.5,25.8,0,30.1,23.7,32.7,28.6,27.8,31.2,0,30.7,25.9,MT,46.6797995,46.6797995
North Carolina,33,39.7,37.5,31.4,28.4,42.4,27.6,58.6,0,44.8,25.6,33.9,0,36.3,30.6,37.5,39.3,32.1,36.6,0,41.6,29.4,NC,35.2145629,35.2145629
North Dakota,35.1,38.8,37.6,36.3,32.9,39.4,34.3,44.8,0,29.2,32.4,34.2,0,40.6,41,41.5,36.7,36,37,0,40,34.9,ND,47.4678819,47.4678819
Nebraska,34.1,38.7,39,32.6,29.9,41.5,32.4,43.2,0,42.8,30.2,33.7,0,38.7,34.3,40.8,41.3,34.5,37.4,0,38.8,33.9,NE,41.5008195,41.5008195
New Hampshire,29.6,33.7,29.4,27.6,28.3,31.8,28.3,0,0,0,22.5,28.1,0,35.9,0,40.8,43.2,31.1,28.9,0,32.6,30,NH,44.0012306,44.0012306
New Jersey,25.6,30.7,31.9,25,22.8,28.9,25.8,0,0,34.2,20.2,25.5,0,34,26.2,35,29.9,25.8,0,0,31.6,26.1,NJ,40.1430058,40.1430058
New Mexico,32.3,33.6,38.1,28.8,33.2,36.5,24.9,41.6,0,30.8,25.5,33.5,0,35.5,37.8,37.6,40.2,31.2,0,0,34.3,25.5,NM,34.1662325,34.1662325
Nevada,29.5,35.9,33.5,29.4,26.6,34.5,28,0,0,43.6,26.1,29.2,0,28.4,33.5,35.2,35.3,29.7,20.2,0,37.4,27.6,NV,38.502032,38.502032
New York,27.6,32.1,31.9,25.7,25,31.7,27,32.1,12.4,33.1,22.7,27.3,34.9,33.6,31.4,33,32.8,27.9,32.3,24,31.1,27.4,NY,40.7056258,40.7056258
Ohio,34,35.4,38.1,34.8,30.8,39.1,32.7,0,0,36.1,30.6,34.3,0,39,43.3,40.2,34.1,33.8,36.5,0,37.9,34,OH,40.1903624,40.1903624
Oklahoma,34.8,38.4,36.9,35.3,33.6,40.1,29.4,38,0,43.4,33.4,37,0,37.3,32.5,37.3,35.8,32.8,35.5,0,38,34.6,OK,35.3097654,35.3097654
